static_case,month,outlet_id,static_price,static_demand,static_profit,opt_price,opt_demand,opt_profit,profit_diff_abs,profit_diff_pct_vs_static
month,May,OUT018,318.775,20.14999565013378,3005.3153853553413,320.0,20.0,3015.669925717851,10.354540362509852,0.34454088955078355
month,May,OUT019,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,May,OUT027,318.775,23.088524366914438,3589.4214310334173,320.0,23.0,3601.2703516760794,11.848920642662051,0.3301067002113115
month,May,OUT035,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,May,OUT045,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,May,OUT046,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,May,OUT049,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,June,OUT010,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,June,OUT013,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,June,OUT017,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,June,OUT018,318.775,20.14999565013378,3005.3153853553413,320.0,20.0,3015.669925717851,10.354540362509852,0.34454088955078355
month,June,OUT019,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,June,OUT027,318.775,23.088524366914438,3589.4214310334173,320.0,23.0,3601.2703516760794,11.848920642662051,0.3301067002113115
month,June,OUT035,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,June,OUT045,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,June,OUT046,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
